Rank,Title,Year,Runtime,Rating,Votes,Revenue,Metascore
1000,Guardians of the Galaxy,2014,121,8.1,757074,333.13,76
999,Prometheus,2012,124,7,485820,126.46,65
998,Split,2016,117,7.3,157606,138.12,62
997,Sing,2016,108,7.2,60545,270.32,59
996,Suicide Squad,2016,123,6.2,393727,325.02,40
995,The Great Wall,2016,103,6.1,56036,45.13,42
994,La La Land,2016,128,8.3,258682,151.06,93
993,Mindhorn,2016,89,6.4,2490,,71
992,The Lost City of Z,2016,141,7.1,7188,8.01,78
991,Passengers,2016,116,7,192177,100.01,41
990,Fantastic Beasts and Where to Find Them,2016,133,7.5,232072,234.02,66
989,Hidden Figures,2016,127,7.8,93103,169.27,74
988,Rogue One,2016,133,7.9,323118,532.17,65
987,Moana,2016,107,7.7,118151,248.75,81
986,Colossal,2016,109,6.4,8612,2.87,70
985,The Secret Life of Pets,2016,87,6.6,120259,368.31,61
984,Hacksaw Ridge,2016,139,8.2,211760,67.12,71
983,Jason Bourne,2016,123,6.7,150823,162.16,58
982,Lion,2016,118,8.1,102061,51.69,69
981,Arrival,2016,116,8,340798,100.5,81
980,Gold,2016,120,6.7,19053,7.22,49
979,Manchester by the Sea,2016,137,7.9,134213,47.7,96
978,Hounds of Love,2016,108,6.7,1115,,72
977,Trolls,2016,92,6.5,38552,153.69,56
976,Independence Day: Resurgence,2016,120,5.3,127553,103.14,32
975,Paris pieds nus,2016,83,6.8,222,,
974,Bahubali: The Beginning,2015,159,8.3,76193,6.5,
973,Dead Awake,2016,99,4.7,523,0.01,
972,Bad Moms,2016,100,6.2,66540,113.08,60
971,Assassin's Creed,2016,115,5.9,112813,54.65,36
970,Why Him?,2016,111,6.3,48123,60.31,39
969,Nocturnal Animals,2016,116,7.5,126030,10.64,67
968,X-Men: Apocalypse,2016,144,7.1,275510,155.33,52
967,Deadpool,2016,108,8,627797,363.02,65
966,Resident Evil: The Final Chapter,2016,107,5.6,46165,26.84,49
965,Captain America: Civil War,2016,147,7.9,411656,408.08,75
964,Interstellar,2014,169,8.6,1047747,187.99,74
963,Doctor Strange,2016,115,7.6,293732,232.6,72
962,The Magnificent Seven,2016,132,6.9,122853,93.38,54
961,5-25-77,2007,113,7.1,241,,
960,Sausage Party,2016,89,6.3,120690,97.66,66
959,Moonlight,2016,111,7.5,135095,27.85,99
958,Don't Fuck in the Woods,2016,73,2.7,496,,
957,The Founder,2016,115,7.2,37033,12.79,66
956,Lowriders,2016,99,6.3,279,4.21,57
955,Pirates of the Caribbean: On Stranger Tides,2011,136,6.7,395025,241.06,45
954,Miss Sloane,2016,132,7.3,17818,3.44,64
953,Fallen,2016,91,5.6,5103,,
952,Star Trek Beyond,2016,122,7.1,164567,158.8,68
951,The Last Face,2016,130,3.7,987,,16
950,Star Wars: Episode VII - The Force Awakens,2015,136,8.1,661608,936.63,81
949,Underworld: Blood Wars,2016,91,5.8,41362,30.35,23
948,Mother's Day,2016,118,5.6,20221,32.46,18
947,John Wick,2014,101,7.2,321933,43,68
946,The Dark Knight,2008,152,9,1791916,533.32,82
945,Silence,2016,161,7.3,49190,7.08,79
944,Don't Breathe,2016,88,7.2,121103,89.21,71
943,Me Before You,2016,106,7.4,113322,56.23,51
942,Their Finest,2016,117,7,3739,3.18,76
941,Sully,2016,96,7.5,137608,125.07,74
940,Batman v Superman: Dawn of Justice,2016,151,6.7,472307,330.25,44
939,The Autopsy of Jane Doe,2016,86,6.8,35870,,65
938,The Girl on the Train,2016,112,6.5,102177,75.31,48
937,Fifty Shades of Grey,2015,125,4.1,244474,166.15,46
936,The Prestige,2006,130,8.5,913152,53.08,66
935,Kingsman: The Secret Service,2014,129,7.7,440209,128.25,58
934,Patriots Day,2016,133,7.4,39784,31.86,69
933,Mad Max: Fury Road,2015,120,8.1,632842,153.63,90
932,Wakefield,2016,106,7.5,291,0.01,61
931,Deepwater Horizon,2016,107,7.2,89849,61.28,68
930,The Promise,2016,133,5.9,149791,,49
929,Allied,2016,124,7.1,78079,40.07,60
928,A Monster Calls,2016,108,7.5,39134,3.73,76
927,Collateral Beauty,2016,97,6.8,43977,30.98,23
926,Zootopia,2016,108,8.1,296853,341.26,78
925,Pirates of the Caribbean: At World's End,2007,169,7.1,498821,309.4,50
924,The Avengers,2012,143,8.1,1045588,623.28,69
923,Inglourious Basterds,2009,153,8.3,959065,120.52,69
922,Pirates of the Caribbean: Dead Man's Chest,2006,151,7.3,552027,423.03,53
921,Ghostbusters,2016,116,5.3,147717,128.34,60
920,Inception,2010,148,8.8,1583625,292.57,74
919,Captain Fantastic,2016,118,7.9,105081,5.88,72
918,The Wolf of Wall Street,2013,180,8.2,865134,116.87,75
917,Gone Girl,2014,149,8.1,636243,167.74,79
916,Furious Seven,2015,137,7.2,301249,350.03,67
915,Jurassic World,2015,124,7,455169,652.18,59
914,Live by Night,2016,129,6.4,27869,10.38,49
913,Avatar,2009,162,7.8,935408,760.51,83
912,The Hateful Eight,2015,187,7.8,341170,54.12,68
911,The Accountant,2016,128,7.4,162122,86.2,51
910,Prisoners,2013,153,8.1,431185,60.96,74
909,Warcraft,2016,123,7,187547,47.17,32
908,The Help,2011,146,8.1,342429,169.71,62
907,War Dogs,2016,114,7.1,106463,43.02,57
